id;name;address;department;category;longitude;latitude
130792369;CONSULTATIONS DE PMI JAS DE BOUFFAN;ZAC JAS DE BOUFFAN 13100 AIX EN PROVENCE;13;223;5.413752417751806;43.52437455125491
840011381;CH D'ORANGE CTRE PLANIF FAMILIALE;CRS POURTOULE 84106 ORANGE CEDEX;84;355;4.810289330222541;44.135371878414524
040006264;HJ CASA SITE MANOSQUE;9151 R AMPERE ZONE ST JOSEPH 04100 MANOSQUE;4;355;5.79650869675061;43.822628254212496
830212528;MECS COSTEBELLE;112 AV DU MARECHAL LECLERC 83400 HYERES;83;177;6.117876799929037;43.11863633488706
830213856;CH HYERES SITE RIONDET;33 AV RIONDET 83400 HYERES;83;355;6.119917496548474;43.12200138623566
130781909;MECS L'EAU VIVE;MLN DU PONT 13111 COUDOUX;13;177;5.259591520432434;43.541861478828395
130790223;SOS VILLAGE D'ENFANTS;10 ALL YVON MORANDAT 13008 MARSEILLE;13;176;5.391705620883703;43.23907489867032
130803661;USMP CENTRE DETENTION CH ARLES;QUA RADOUBS 13150 TARASCON;13;355;4.6557578337117045;43.800761757600746
130046972;MECS LA GALIPIOTE;34 AV DE LA VISTE 13315 MARSEILLE CEDEX 15;13;177;5.357407396999364;43.355217361856255
130025489;CENTRE MATERNEL  LA MARTINE;15 BD DE LA PRESENTATION 13013 MARSEILLE;13;166;5.426888388303919;43.329711578679174
840001861;CH D'AVIGNON HENRI DUFFAUT;305 R RAOUL FOLLEREAU 84902 AVIGNON CEDEX 9;84;355;4.8051781476333;43.92021872741911
040785339;MECS DOMAINE D'AUROUE;LE PLAN DES AIRES 04300 FORCALQUIER;4;177;5.79467070687389;43.93875681906917
840000491;CHI SITE DE PERTUIS;58 R DE CROZE 84123 PERTUIS CEDEX;84;355;5.499958745637513;43.693929308678314
830100608;CHITS CH GEORGE SAND;AV JULES RENARD 83507 LA SEYNE SUR MER CEDEX;83;355;5.8706664355563145;43.11056867260032
840002273;MECS LE MOULIN DU VAISSEAU;1750 LA VENUE MORMOIRON 84380 MAZAN;84;177;5.1538141208705985;44.0513842801274
830025359;SOS VILLAGE ENFANT BESSE SUR ISSOLE;10 IMP DE PITCHOUNS 83890 BESSE SUR ISSOLE;83;176;6.184889534202349;43.34957088459553
840019541;AHARP SERVICE JEUNES MNA;19 AV DE LA SYNAGOGUE 84000 AVIGNON;84;177;4.821488092625503;43.951761797991765
130797533;CENTRE MATERNEL AGNES JESSE-CHARLEVAL;75 BD DE LA BLANCARDE 13004 MARSEILLE;13;166;5.401437774714765;43.30304416780387
840000418;CHI DE CAVAILLON LAURIS;119 AV GEORGES CLEMENCEAU 84304 CAVAILLON CEDEX;84;355;5.037537830163125;43.84032388136538
040784928;CENTRE PARENTAL PÔLE ENFANCE 04;6 AV MARECHAL LECLERC 04000 DIGNE LES BAINS;4;166;6.234418701922218;44.09854513414609
840000533;CH JULES NIEL DE VALREAS;CRS TIVOLI 84600 VALREAS;84;355;4.991952652283959;44.3822777795844
